Dist Code,Year,State Code,State Name,Dist Name,RICE AREA (1000 ha),RICE PRODUCTION (1000 tons),RICE YIELD (Kg per ha),WHEAT AREA (1000 ha),WHEAT PRODUCTION (1000 tons),WHEAT YIELD (Kg per ha),KHARIF SORGHUM AREA (1000 ha),KHARIF SORGHUM PRODUCTION (1000 tons),KHARIF SORGHUM YIELD (Kg per ha),RABI SORGHUM AREA (1000 ha),RABI SORGHUM PRODUCTION (1000 tons),RABI SORGHUM YIELD (Kg per ha),SORGHUM AREA (1000 ha),SORGHUM PRODUCTION (1000 tons),SORGHUM YIELD (Kg per ha),PEARL MILLET AREA (1000 ha),PEARL MILLET PRODUCTION (1000 tons),PEARL MILLET YIELD (Kg per ha),MAIZE AREA (1000 ha),MAIZE PRODUCTION (1000 tons),MAIZE YIELD (Kg per ha),FINGER MILLET AREA (1000 ha),FINGER MILLET PRODUCTION (1000 tons),FINGER MILLET YIELD (Kg per ha),BARLEY AREA (1000 ha),BARLEY PRODUCTION (1000 tons),BARLEY YIELD (Kg per ha),CHICKPEA AREA (1000 ha),CHICKPEA PRODUCTION (1000 tons),CHICKPEA YIELD (Kg per ha),PIGEONPEA AREA (1000 ha),PIGEONPEA PRODUCTION (1000 tons),PIGEONPEA YIELD (Kg per ha),MINOR PULSES AREA (1000 ha),MINOR PULSES PRODUCTION (1000 tons),MINOR PULSES YIELD (Kg per ha),GROUNDNUT AREA (1000 ha),GROUNDNUT PRODUCTION (1000 tons),GROUNDNUT YIELD (Kg per ha),SESAMUM AREA (1000 ha),SESAMUM PRODUCTION (1000 tons),SESAMUM YIELD (Kg per ha),RAPESEED AND MUSTARD AREA (1000 ha),RAPESEED AND MUSTARD PRODUCTION (1000 tons),RAPESEED AND MUSTARD YIELD (Kg per ha),SAFFLOWER AREA (1000 ha),SAFFLOWER PRODUCTION (1000 tons),SAFFLOWER YIELD (Kg per ha),CASTOR AREA (1000 ha),CASTOR PRODUCTION (1000 tons),CASTOR YIELD (Kg per ha),LINSEED AREA (1000 ha),LINSEED PRODUCTION (1000 tons),LINSEED YIELD (Kg per ha),SUNFLOWER AREA (1000 ha),SUNFLOWER PRODUCTION (1000 tons),SUNFLOWER YIELD (Kg per ha),SOYABEAN AREA (1000 ha),SOYABEAN PRODUCTION (1000 tons),SOYABEAN YIELD (Kg per ha),OILSEEDS AREA (1000 ha),OILSEEDS PRODUCTION (1000 tons),OILSEEDS YIELD (Kg per ha),SUGARCANE AREA (1000 ha),SUGARCANE PRODUCTION (1000 tons),SUGARCANE YIELD (Kg per ha),COTTON AREA (1000 ha),COTTON PRODUCTION (1000 tons),COTTON YIELD (Kg per ha),FRUITS AREA (1000 ha),VEGETABLES AREA (1000 ha),FRUITS AND VEGETABLES AREA (1000 ha),POTATOES AREA (1000 ha),ONION AREA (1000 ha),FODDER AREA (1000 ha)
73,2015,5,Karnataka,Bellary,93.67,341.44,3645.14,0.11,0.21,1909.09,17.11,28,1636.47,33.13,58.22,1757.32,50.23,86.22,1716.5,14.16,13.36,943.5,99.74,263.33,2640.16,3.13,2.08,664.54,0,0,0,75.36,48.68,645.97,2.93,1.04,354.95,7.8,3.16,405.08,49.76,46.58,936.09,3.13,0.79,252.4,0,0,0,0.14,0.06,428.57,0.03,0.01,333.33,0,0,0,18.8,9.54,507.45,0,0,0,72.05,0,0,7.84,80.39,10260,68.05,26.51,389.57,7.66,16.52,24.18,0.19,13.32,0.14
73,2016,5,Karnataka,Bellary,87.01,337.8,3882.34,0.08,0.01,129.87,17.06,34.76,2037.76,14.99,9.26,617.37,32.05,44.01,1373.35,16.05,20.18,1257.46,95.1,250.59,2634.99,2.38,2.55,1070.62,0,0,0,9.47,2.64,278.37,11.95,7.04,588.98,3.27,0.94,287.72,36.38,42.74,1174.7,0.65,0.31,467.18,0.02,0,176.47,0.01,0,285.71,0.16,0.08,493.83,0,0,0,13.77,9.28,673.54,0,0,0,0,0,0,6.99,51.16,7315,48.06,24.06,500.65,8.84,14.11,22.96,0,11.45,0
73,2017,5,Karnataka,Bellary,101.93,388.34,3809.74,0.58,0.77,1317.87,11.27,28.41,2520.32,28.04,58.45,2084.26,39.31,86.86,2209.28,24.47,44.95,1836.9,97.82,376.54,3849.42,11,15.23,1383.84,0,0,0,26.86,26.59,989.91,9.36,7.69,821.75,3.85,2.96,770.13,60.42,90.14,1491.96,0.09,0.17,1898.88,0.04,0.01,170.73,0,0,1000,0.06,0.04,650,0,0,0,8.04,10.31,1282.21,0,0,0,0,0,0,4.41,37.24,8455.01,59.16,35.81,605.22,10.44,10.88,21.32,0,5.75,0
74,2010,5,Karnataka,Dharwad,81.43,133.81,1643.25,69.42,68.17,981.99,20.55,33.07,1609.25,120.82,103.92,860.12,141.37,136.97,968.88,2.8,2.4,857.14,233.78,801.09,3426.68,0.53,0.53,1000,0,0,0,128.57,76.59,595.71,9.43,5.35,567.34,119.81,31.19,260.33,120.97,130.69,1080.35,1.27,0.79,622.05,0.12,0.05,416.67,8.6,7.74,900,0.08,0.07,875,0.86,0.29,337.21,55.35,34.55,624.21,37.83,34.92,923.08,226.67,194.87,859.71,6.87,49.68,7231.44,266.44,99.81,374.61,17.98,87.51,105.48,1.14,76.53,0.96
74,2011,5,Karnataka,Dharwad,77.22,137.78,1784.25,75.81,52.29,689.75,18.94,29.27,1545.41,108.96,71.52,656.39,127.89,100.79,788.1,2.17,1.66,764.98,248.11,747.02,3010.84,0.66,0.74,1121.21,0,0,0,129.39,45.14,348.87,8.29,4.08,492.16,94.42,19.86,210.34,106.27,100.22,943.07,1.12,0.52,464.29,0.03,0.01,333.33,17.78,9.37,527,0.03,0.02,666.67,0.61,0.17,278.69,46.54,21.11,453.59,28.75,24.38,848,202.93,142.64,702.9,22.33,176.15,7887.15,234.82,86.41,367.98,18.41,71.83,90.23,1.18,60.93,0.88
74,2012,5,Karnataka,Dharwad,79.78,74.7,936.32,75.78,41.97,553.84,13.98,13.25,947.78,162.74,91.52,562.37,176.72,104.77,592.86,3.04,2.39,786.18,240.36,501.64,2087.04,0.32,0.19,593.75,0,0,0,171.45,62.18,362.67,5,1.95,390,37.18,6.02,161.92,68.73,44.94,653.86,0.69,0.1,144.93,0.02,0.01,500,17.63,8.68,492.34,0.01,0,0,0.45,0.09,200,79.79,32.98,413.34,27.29,18.48,677.17,195.64,91.89,469.69,11.78,80.07,6797.11,139.66,45.18,323.5,17.85,23.97,41.82,0.67,13.91,0.33
74,2013,5,Karnataka,Dharwad,73.73,155.57,2110,64.95,56.47,869.44,14.51,19.84,1367.33,119.65,94.28,787.96,134.15,114.12,850.69,2.78,2.18,784.17,263.57,818.61,3105.85,0.2,0.17,850,0,0,0,139.32,88.59,635.87,6.17,3.83,620.75,109.04,20.44,187.45,104,101.53,976.25,0.73,0.35,479.45,0.07,0.03,428.57,13.18,8.05,610.77,0.05,0.04,800,0.38,0.14,368.42,55.67,32.23,578.95,33.69,34.15,1013.65,209.18,166.29,794.96,12.01,121.47,10114.07,246.51,88.13,357.51,17.8,65.28,83.08,1.24,53.39,0.41
74,2014,5,Karnataka,Dharwad,68.9,157.35,2283.74,46.38,54.25,1169.69,8.48,11.44,1349.06,127.52,127.21,997.57,135.99,138.66,1019.63,2.43,1.43,588.48,237.14,661.05,2787.59,0.25,0.2,800,0,0,0,136.57,96.18,704.25,4.56,3.33,730.26,102.63,20.92,203.84,88.16,80.92,917.88,0.86,0.54,627.91,0.03,0.01,333.33,8.2,6.35,774.39,0.01,0.01,1000,0.26,0.08,307.69,49.83,27.5,551.88,37,37,1000,185.38,142.31,767.67,20.9,193.26,9246.89,301.37,119.33,395.96,17.94,94.48,112.42,1.48,82.82,0.19
74,2015,5,Karnataka,Dharwad,70.59,67.57,957.22,49.86,26.88,539.11,5.78,4.48,775.09,132.84,67.24,506.17,138.62,71.72,517.39,1.09,0.41,376.15,235.76,507.96,2154.56,0.18,0.18,1000,0,0,0,203.61,52.13,256.03,4.39,1.39,316.63,133.02,26.8,201.48,95.11,53.76,565.24,0.49,0.1,204.08,0.03,0.01,333.33,15.92,4.58,287.69,0.01,0.01,1000,0.15,0.01,66.67,46.54,15.99,343.58,47.08,29.16,619.37,205.91,0,0,22.99,191.21,8316.55,200.16,59.13,295.41,17.06,94.5,111.56,1.16,83.51,0.09
74,2016,5,Karnataka,Dharwad,59.82,56.76,948.88,44.02,15.68,356.17,6.29,5.4,857.87,150.26,40.58,270.09,156.55,45.98,293.7,1.28,0.87,676.79,275.8,641.38,2325.56,0.19,0.13,686.49,0,0,0,186.75,26.01,139.3,8.37,4.63,554.09,147.05,30.4,206.7,99.76,59.65,597.95,0.44,0.21,490.83,0.06,0.01,196.43,7.73,1.1,142.01,0.02,0.01,473.68,0.14,0,21.58,37.27,8.21,220.21,48.28,59.31,1228.4,0,0,0,17.81,137.14,7698.66,198.3,46.8,236,17.29,94.75,112.03,1.07,84.13,0.08
74,2017,5,Karnataka,Dharwad,52.59,74.86,1423.5,54.57,35.42,649.01,4.94,6.7,1354.85,165.03,115.79,701.61,169.98,122.49,720.6,2.17,2.88,1327.04,251.61,989.38,3932.23,0.19,0.24,1276.04,0,0,0,237.58,117.33,493.85,5.47,3.76,686.03,113.23,13.05,115.3,78.4,77.18,984.45,0.24,0.25,1024.9,0.04,0.01,175,11.35,6.66,586.7,0.03,0.02,633.33,0.09,0.04,404.26,36.59,21.84,597.09,36.39,30.46,837.18,0,0,0,22.51,186.79,8297.89,148.05,67.14,453.47,18.37,58.21,76.59,1.09,45.26,0.15
75,2010,5,Karnataka,Belgaum,68.47,135.88,1984.52,54.24,67.91,1252.03,27.62,42.91,1553.58,118.54,118.38,998.65,146.16,161.29,1103.52,19.15,12.52,653.79,157.51,505.05,3206.46,1.36,1,735.29,0,0,0,68.25,44.48,651.72,5.62,2.19,389.68,34.09,8.69,254.91,42.95,40.13,934.34,0.62,0.1,161.29,0.56,0.28,500,5.9,6.63,1123.73,0.37,0.32,864.86,2.15,0.8,372.09,20.87,15.78,756.11,78.66,64.42,818.97,152.56,124.81,818.1,182.4,1680.81,9214.97,38.33,17.15,447.43,9.61,25.28,34.88,3.76,9.15,3.57
75,2011,5,Karnataka,Belgaum,68.31,132.5,1939.69,44.01,43.95,998.64,26.5,37.92,1430.94,128.24,137.97,1075.87,154.74,175.88,1136.62,12.46,5.52,443.02,148,440.05,2973.31,0.53,0.48,905.66,0,0,0,52.17,26.47,507.38,4.16,1.27,305.29,28.19,7.08,251.15,36.25,33.34,919.72,0.5,0.06,120,0,0,0,6.06,3.83,632.01,0.14,0.12,857.14,0.72,0.17,236.11,16.81,9.41,559.79,77.18,60.27,780.9,139.02,126.45,909.58,342.41,3252.9,9500,38.01,19.88,523.02,9.51,23.47,32.99,3.28,9.18,3.94
75,2012,5,Karnataka,Belgaum,63.7,95.08,1492.62,47.29,42.59,900.61,25.22,28.36,1124.5,95.73,74.86,781.99,120.95,103.22,853.41,7.58,2.66,350.92,133.17,352.83,2649.47,0.9,0.67,744.44,0,0,0,41.76,21.39,512.21,2.31,1.17,506.49,13.1,0.65,49.62,37.43,29.63,791.61,0.28,0.03,107.14,0,0,0,4.85,1.55,319.59,0.1,0.06,600,0.92,0.17,184.78,13.45,7.58,563.57,60.2,40.38,670.76,117.84,81.49,691.53,168.13,1389.58,8264.91,22.68,7.53,332.01,8.72,26.32,35.04,5.2,4.79,9.3
75,2013,5,Karnataka,Belgaum,58.67,123.84,2110.79,39.36,37.43,950.97,27.98,33.23,1187.63,97.77,90.3,923.6,125.75,123.53,982.35,12.44,8.2,659.16,157.64,496.25,3148,1.22,1.11,909.84,0,0,0,64.07,31.77,495.86,3.83,1.65,430.81,27.88,11.28,404.59,39.52,39.21,992.16,0.32,0.07,218.75,0.01,0,0,2.39,1.35,564.85,0.53,0.48,905.66,0.61,0.34,557.38,10.68,7.09,663.86,66.77,49.16,736.26,121.92,103.43,848.34,159.44,1438.97,9025.15,31.37,15.6,497.29,9.64,30.8,40.44,5.04,7.83,7.06
75,2014,5,Karnataka,Belgaum,59.94,176.69,2947.78,46.81,74.09,1582.78,20.22,27.79,1374.38,103.88,114.55,1102.71,124.11,142.34,1146.89,9.26,6.15,664.15,156.72,580.54,3704.31,1.13,1.37,1212.39,0,0,0,78.64,48.93,622.2,2.87,2.32,808.36,35.19,11.82,335.89,37.73,34.59,916.78,0.16,0.14,875,0.25,0.05,200,2.81,2.16,768.68,0.08,0.05,625,0.77,0.19,246.75,15.45,10.02,648.54,74.31,67.99,914.95,132.1,116.64,882.97,180.57,1629.65,9025.03,40.31,19.73,489.46,11.02,34.84,45.86,4.58,11.09,5.31
75,2015,5,Karnataka,Belgaum,61.23,40.8,666.34,32.91,29.76,904.28,18.5,14.08,761.08,145.22,83,571.55,163.72,97.08,592.96,4.54,1.69,372.25,131.16,281.65,2147.38,0.25,0.2,800,0,0,0,104.26,31.1,298.29,5.08,1.14,224.41,40.45,5.11,126.29,37.42,21.34,570.28,0.11,0.04,363.64,0.01,0,0,2.14,0.58,271.03,0.02,0.01,500,0.25,0.03,120,23.98,9.42,392.83,90.45,30.76,340.1,154.63,0,0,175.78,1452.81,8265,39.58,10.63,268.57,10.74,29.8,40.54,4.8,10.74,4.65
75,2016,5,Karnataka,Belgaum,65.59,123.76,1886.84,50.77,69.6,1370.84,25.62,37.29,1455.39,106.44,80.02,751.73,132.07,117.31,888.26,10.2,6.19,606.8,165.6,518.68,3132.11,1.2,1.59,1324.98,0,0,0,102.64,51.68,503.5,9.9,7.3,737.24,51.59,16.28,315.55,35.36,34.66,980.32,0.27,0.2,756.55,0.01,0,222.22,1.68,0.96,569.98,0.02,0.01,478.26,0.15,0.03,190.48,9.77,6.05,618.9,93.87,100.86,1074.45,0,0,0,163.51,1071.81,6555,54.72,26.16,478.09,10.93,18.69,29.62,2.79,2.68,4.53
75,2017,5,Karnataka,Belgaum,64.58,148.63,2301.29,46.35,70.18,1514.29,12.63,29.55,2339.83,132.37,153.58,1160.19,145,183.12,1262.92,7.78,9.42,1210.36,141.2,623.11,4413.1,0.43,0.6,1378.75,0,0,0,112.24,83.71,745.75,6.28,4.28,681.11,43.15,15.01,347.91,32.63,39.93,1223.77,0.08,0.05,619.05,0.14,0.02,166.67,1.46,1.57,1078.93,0,0,750,0.14,0.07,461.54,7.79,9.06,1162.97,76.75,94.49,1231.2,0,0,0,208.73,2062.24,9880,31,18.3,590.43,14.83,25.98,40.81,3.7,4.4,1.37
76,2010,5,Karnataka,Bijapur / Vijayapura,0.21,0.59,2809.52,88.66,92.64,1044.89,3.71,10.34,2787.06,292.77,358.88,1225.81,296.48,369.22,1245.35,99.5,104.88,1054.07,164.02,508.49,3100.17,0,0,0,0,0,0,234.22,153.95,657.29,200.92,113.51,564.95,91.08,19.54,214.54,91.73,72.54,790.8,3.09,2.32,750.81,0.01,0.01,1000,8.58,4.4,512.82,0,0,0,5.65,1.84,325.66,95.04,53.72,565.24,3.7,3.03,818.92,207,123.8,598.07,121.31,1116.77,9205.92,12.91,5.52,427.58,23.88,40.99,64.87,0,35.48,0.56
76,2011,5,Karnataka,Bijapur / Vijayapura,0.18,0.47,2611.11,71.63,56.53,789.19,6.44,13.34,2071.43,272.25,258.15,948.21,278.69,271.5,974.2,93.27,94.06,1008.47,164.19,524.06,3191.79,0,0,0,0,0,0,194.88,73.98,379.62,109.53,38.2,348.76,66.59,9.69,145.52,68.43,45.04,658.19,3.08,0.51,165.58,0,0,0,10.48,3.01,287.21,0.03,0.02,666.67,5.72,1.15,201.05,110.51,54.32,491.54,3.03,2.61,861.39,195.83,94.14,480.72,267.14,2259.73,8459.03,13.7,4.6,335.77,25.53,44.48,70.01,0,39.55,0.41
76,2012,5,Karnataka,Bijapur / Vijayapura,0.15,0.38,2533.33,72.99,63.04,863.68,1.71,3.14,1836.26,350.8,406.83,1159.72,352.51,409.97,1163,74.53,70.21,942.04,140.72,405.94,2884.74,0,0,0,0,0,0,255.62,130.82,511.78,87.15,50.9,584.05,10.29,3.04,295.43,67.59,55.29,818.02,0.29,0.04,137.93,0,0,0,5.21,1.94,372.36,0,0,0,3.87,0.57,147.29,115.27,54.37,471.68,0.29,0.22,758.62,186.75,96.41,516.25,128.74,1075.5,8354.05,13.76,5.34,388.08,24.12,31.45,55.57,0,27,0.45
76,2013,5,Karnataka,Bijapur / Vijayapura,0.1,0.31,3100,75.41,75.89,1006.37,2.71,4.76,1756.46,279.39,308.52,1104.26,282.1,313.28,1110.53,96.35,99.9,1036.84,156.53,551,3520.09,0,0,0,0,0,0,228.66,152.16,665.44,184.7,172.69,934.98,54.65,26.62,487.1,62.58,53.39,853.15,1.39,0.44,316.55,0,0,0,4.17,1.23,294.96,0,0,0,2.84,0.6,211.27,107.6,58.67,545.26,3.01,3.61,1199.34,177.09,107.3,605.91,131.85,1245.89,9449.3,11.38,4.91,431.46,25.23,34.28,59.49,0,29.83,0.18
76,2014,5,Karnataka,Bijapur / Vijayapura,0.08,0.23,2875,76.95,91.28,1186.22,0.97,1.49,1536.08,249.64,237.01,949.41,250.61,238.5,951.68,70.83,61.57,869.26,134.09,466.08,3475.87,0,0,0,0,0,0,262.89,134.66,512.23,193.46,117.45,607.1,37.64,7.79,206.96,68.69,55.54,808.56,0.49,0.12,244.9,0,0,0,3.52,1.33,377.84,0,0,0,2.63,0.63,239.54,100.37,53.75,535.52,2.51,2.4,956.18,174.62,100.81,577.31,142.73,1414.86,9912.84,18.42,7.72,419.11,27.09,35.27,62.36,0.02,29.19,0.29
76,2015,5,Karnataka,Bijapur / Vijayapura,0.08,0.23,2875,73.96,56.56,764.74,1.46,1.7,1164.38,286.14,190.08,664.29,287.59,191.78,666.85,36.06,14.4,399.33,84.51,225.9,2673.06,0,0,0,0,0,0,455.09,139.98,307.59,140.25,40.84,291.19,28.32,2.02,71.19,51.11,33.37,652.91,0.6,0.15,250,0,0,0,14.92,1.32,88.47,0,0,0,3.49,0.4,114.61,74.57,25.58,343.03,1.89,2.06,1086.59,146.91,0,0,137.93,1123.51,8145.45,9.54,3.26,341.72,29.09,33.72,62.81,0.01,28.39,0.44
76,2016,5,Karnataka,Bijapur / Vijayapura,0.03,0.09,2774.19,56.13,59.82,1065.77,0.97,1.66,1715.17,193.16,138.87,718.94,194.13,140.53,723.91,72.49,81.99,1131.15,128.67,480.53,3734.72,0,0,0,0,0,0,263.77,123.89,469.7,426.19,359.56,843.65,57.99,12.92,222.78,69.98,64.58,922.85,0.44,0.25,568.85,0,0,0,1.33,0.19,139.64,0,0,0,1.75,0.08,46.31,56.28,32.9,584.61,3.95,3.95,998.48,0,0,0,123.49,878.23,7111.6,11.32,5.23,462.13,28.67,36.93,65.6,0,31.42,0.38
76,2017,5,Karnataka,Bijapur / Vijayapura,0.03,0.09,2866.67,68.7,79.05,1150.69,0.35,1.08,3045.2,256.58,268.49,1046.43,256.93,269.57,1049.18,47.58,57.37,1205.75,113.44,463.19,4083.32,0,0,0,0,0,0,354.62,257.42,725.92,285.57,175.61,614.96,65.13,8.43,129.45,76.21,79.17,1038.85,0.37,0.35,946.38,0,0,0,2.22,1.1,496.17,0,0,0,1.28,0.41,321.32,50.41,50.65,1004.68,0.95,1.11,1170.71,0,0,0,104.12,856.53,8226.66,13.65,6.72,492.02,31.84,39.32,71.16,0,33.77,0.35
77,2010,5,Karnataka,Bidar,4.93,3.87,784.99,7.88,9.44,1197.97,56.03,77.93,1390.86,22.49,8.84,393.06,78.52,86.78,1105.2,6.72,4.97,739.58,1.36,4.54,3338.24,0,0,0,0,0,0,43.07,28.03,650.8,72.73,64.19,882.58,91.88,29.66,322.81,0.87,0.67,770.11,5.09,2.23,438.11,0.02,0.01,500,11.4,14.17,1242.98,0,0,0,0.29,0.1,344.83,6.18,2.19,354.37,47.43,44.88,946.24,74.17,66.68,899.02,31.3,220.03,7029.71,0.79,0.15,189.87,1.98,1.94,3.92,0.09,0.7,0.05
77,2011,5,Karnataka,Bidar,6.49,4.46,687.21,6.91,7.49,1083.94,53.94,86.3,1599.93,21.86,13.42,613.91,75.81,99.72,1315.39,6.41,5.65,881.44,1.53,4.68,3058.82,0,0,0,0,0,0,37.86,18.7,493.92,76.01,44.99,591.9,58.37,19.48,333.73,0.86,0.63,732.56,3.55,1.18,332.39,0,0,0,9.42,11.48,1218.68,0,0,0,0.16,0.04,250,5.63,2.11,374.78,81.07,84.71,1044.9,103.46,104.2,1007.15,51.01,348.94,6840,0.63,0.26,412.7,1.82,2.8,4.62,0.18,1.07,0.15
77,2012,5,Karnataka,Bidar,4.94,4.88,987.85,6.88,9.42,1369.19,44.23,82.53,1865.93,20.51,16.91,824.48,64.75,99.44,1535.75,5.11,5.77,1129.16,2.72,7.47,2746.32,0,0,0,0,0,0,47,37.46,797.02,68.63,82.67,1204.58,88.98,57.02,640.82,1.11,1.07,963.96,3.09,1.69,546.93,0,0,0,11.44,11.16,975.52,0,0,0,0.53,0.09,169.81,4.68,2.66,568.38,77.19,115.27,1493.33,100.24,132.25,1319.33,31.52,218.61,6935.6,0.55,0.23,418.18,2.05,3.2,5.25,0.16,0.88,0.03
77,2013,5,Karnataka,Bidar,3.57,5.54,1551.82,6.66,8.5,1276.28,38,53.35,1403.95,24.71,20.07,812.22,62.71,73.42,1170.79,2.94,3.36,1142.86,2.77,10.29,3714.8,0,0,0,0,0,0,50.94,39.73,779.94,73.27,59.31,809.47,71.58,28.76,401.79,0.94,0.68,723.4,2.55,1.17,458.82,0.16,0.05,312.5,11.51,11.73,1019.11,0.01,0.01,1000,0.44,0.13,295.45,4.29,1.89,440.56,109.39,174.9,1598.87,130.46,191.51,1467.96,26.49,193.77,7314.84,0.32,0.17,531.25,2.01,3.3,5.31,0.21,0.92,0.17
77,2014,5,Karnataka,Bidar,2.06,1.99,966.02,4.34,5.39,1241.94,24.73,29.95,1211.08,15.02,10.35,689.08,39.75,40.29,1013.58,3.72,3.74,1005.38,1.48,2.74,1851.35,0,0,0,0,0,0,25.97,14.14,544.47,65.97,44.24,670.61,54.41,14.38,264.29,0.35,0.15,428.57,2.05,0.51,248.78,0.05,0.01,200,6.85,6.89,1005.84,0.01,0.01,1000,0.15,0.05,333.33,1.98,0.8,404.04,120.02,68.53,570.99,132.58,77.31,583.12,28.87,189.22,6554.21,0.29,0.14,482.76,2,1.94,3.93,0.12,0.6,0.07
77,2015,5,Karnataka,Bidar,1.55,1.32,851.61,3.84,4.28,1114.58,23.93,27.8,1161.72,26.85,8.52,317.32,50.78,36.32,715.24,5.35,3.77,704.67,1.38,2.7,1956.52,0,0,0,0,0,0,47.06,11.53,245.01,67.45,29.8,441.81,56.72,6.08,107.22,0.3,0.08,266.67,5.72,1.46,255.24,0.01,0,0,12.04,10.95,909.47,0,0,0,0.13,0.02,153.85,1.14,0.23,201.75,111.32,72.86,654.55,130.94,0,0,19.42,84.86,4370,0.28,0.09,321.43,1.9,1.63,3.53,0.09,0.75,0.09
77,2016,5,Karnataka,Bidar,0.52,0.63,1198.1,4.71,6.31,1340.48,26.61,17.39,653.61,27.01,25.45,942.38,53.62,42.84,799.06,1.88,1.25,666.67,1.52,1.6,1055.37,0,0,0,0,0,0,71.79,59.47,828.4,81.61,101.49,1243.55,69.46,37.93,546.1,0.08,0.06,807.69,2.32,1.62,698.36,0.22,0.04,184.33,17.03,16.31,957.61,0.03,0.01,481.48,0.29,0.02,54.24,0.02,0.01,428.57,151.87,56.56,372.4,0,0,0,17.71,95.91,5415,0.05,0.02,377.65,1.26,1.51,2.77,0.15,0.74,0.01
77,2017,5,Karnataka,Bidar,1.02,1.9,1864.44,4.66,6.23,1338.63,20.33,40.2,1976.93,22.35,21.85,977.54,42.69,62.05,1453.57,2.29,3.32,1450.66,0.87,3.03,3494.81,0,0,0,0,0,0,65.42,57.43,877.8,78.68,129.91,1651.11,67.19,48.71,724.9,0.06,0.07,1078.12,1.05,1.21,1150.48,0.08,0.01,173.33,13.34,17.37,1302.47,0.01,0.01,615.38,0.16,0.06,347.56,0.01,0,454.55,149.03,270.84,1817.35,0,0,0,15.52,115.03,7410,0.49,0.31,629.63,1.46,1.94,3.4,0.08,0.48,0.01
78,2010,5,Karnataka,Raichur,252.89,787.56,3114.24,11.72,8.69,741.47,11.39,20.17,1770.85,163.12,236.65,1450.77,174.51,256.83,1471.72,120.79,156.29,1293.9,49.2,139.53,2835.98,0,0,0,0,0,0,141.4,72.81,514.92,74.73,26.74,357.82,49.52,12.16,245.56,84.62,78.37,926.14,13.06,5.77,441.81,0,0,0,8.2,5.36,653.66,2.22,1.8,810.81,1.82,0.66,362.64,96.07,61.66,641.82,0,0,0,207.33,136.32,657.5,0.32,3.03,9468.75,48.74,15.58,319.66,10.13,11.64,21.77,0,3.44,0
78,2011,5,Karnataka,Raichur,218.77,660.4,3018.7,6.73,3.51,521.55,7.63,10.05,1317.17,110.07,106.49,967.48,117.7,116.55,990.23,112.09,124.09,1107.06,53.81,157.17,2920.83,0,0,0,0,0,0,102.93,37.53,364.62,53.54,15.07,281.47,32.74,1.63,49.79,79.95,61.34,767.23,10.61,3.18,299.72,0,0,0,3.93,2.18,554.71,1.61,1.29,801.24,0.88,0.23,261.36,91.53,49.33,538.95,0,0,0,189.32,104.59,552.45,2.45,22.34,9120,49.63,13.33,268.59,10.17,14.47,24.64,0,6.26,0
78,2012,5,Karnataka,Raichur,228.59,735.3,3216.68,8.87,5.12,577.23,3.15,4.56,1447.62,163.69,196.15,1198.3,166.83,200.71,1203.08,123.71,148.48,1200.23,56.56,155.89,2756.19,0,0,0,0,0,0,172.83,124.71,721.58,38.84,15.47,398.3,13.81,2.85,206.37,75.89,55.96,737.38,4.37,2.45,560.64,0,0,0,2.56,1.43,558.59,1.04,0.65,625,0.82,0.24,292.68,121.47,77.77,640.24,0,0,0,206.74,119.89,579.91,2.48,20.75,8366.94,62.59,34.52,551.53,9.48,14.16,23.62,0,6.2,0
78,2013,5,Karnataka,Raichur,254.24,836,3288.23,8.04,6.98,868.16,4.28,9.22,2154.21,127.04,160.64,1264.48,131.32,169.86,1293.48,110.56,156.24,1413.17,68.22,236.93,3473.03,0,0,0,0,0,0,183.98,159.7,868.03,48.51,21.78,448.98,36.86,8.81,239.01,86.14,76.14,883.91,6.41,5.76,898.6,0,0,0,5.36,5.09,949.63,1.33,0.84,631.58,1.07,0.38,355.14,121.19,83.14,686.03,0,0,0,221.67,155.23,700.28,2.94,26.24,8925.17,67.86,34.43,507.37,8.72,14.52,23.25,0,6.07,0
78,2014,5,Karnataka,Raichur,237.74,733.65,3085.93,7.02,8.75,1246.44,2.39,4.42,1849.37,110.69,151.63,1369.86,113.08,156.05,1380,97.62,122.72,1257.12,64.26,194.15,3021.32,0,0,0,0,0,0,112.13,88.82,792.12,52.16,33.4,640.34,37.7,9.94,263.66,68.02,60.6,890.91,11.51,7.07,614.25,0,0,0,5.47,6.42,1173.67,2.39,0.95,397.49,0.84,0.5,595.24,79.35,51.73,651.92,0,0,0,168.71,118.14,700.25,2.68,24.42,9111.94,127.87,63.43,496.05,7.63,22.94,30.58,0,5.99,0
78,2015,5,Karnataka,Raichur,166,527.46,3177.47,3.18,1.19,374.21,1.61,1.67,1037.27,116.21,102.94,885.81,117.82,104.6,887.79,81.23,60.05,739.26,50.81,66.79,1314.51,0,0,0,0,0,0,245.51,127.02,517.37,45.26,18.22,402.56,40.09,7.05,175.92,58.23,44.04,756.31,9.11,1.14,125.14,0,0,0,1.66,0.48,289.16,1.85,0.46,248.65,0.58,0.09,155.17,79.02,30.95,391.67,0,0,0,151.65,0,0,1.79,14.45,8075.01,73.18,26.56,362.94,6.91,18.86,25.77,0,8.4,0.14
